uri,place_id,attested_form,romanized_form_1,romanized_form_2,romanized_form_3,entidad_buscada,geometry_wkt,geometry_wkt_polygon
https://pleiades.stoa.org/places/981509/asia,981509,,Asia,,,Asia,,"POLYGON ((25 35, 30 35, 30 40, 25 40, 25 35))"
https://pleiades.stoa.org/places/981505/gallia-aquitania,981505,Gallia Aquitania,Gallia Aquitania,,,Gallia,,
https://pleiades.stoa.org/places/981513/britannia,981513,Britannia,Britannia,,,Britannia,,"POLYGON ((-5 50, 0 50, 0 55, -5 55, -5 50))"
https://pleiades.stoa.org/places/981517/creta-et-cyrene,981517,,Creta et Cyrene,,,Creta,,"POLYGON ((20 30, 25 30, 25 35, 20 35, 20 30))"
https://pleiades.stoa.org/places/981537/gallia-narbonensis,981537,Gallia Narbonensis,Gallia Narbonensis,,,Gallia,,
https://pleiades.stoa.org/places/984830239/forum-of-nerva,984830239,Forum of Nerva,Forum of Nerva,,,Forum,,
https://pleiades.stoa.org/places/984830239/forum-nervae,984830239,Forum Neruae,Forum Nervae,,,Forum,,
https://pleiades.stoa.org/places/984830239/forum-transitorium,984830239,forum Transitorium,Forum Transitorium,,,Forum,,
https://pleiades.stoa.org/places/982853456/name.2018-09-09.2319273871,982853456,,Arco Romano de Dona Isabel,,,Roma,POINT (-7.909196 38.5729306),
https://pleiades.stoa.org/places/982257/alpes-graiae-et-poeninae,982257,,Alpes Graiae et Poeninae,,,Alpes,,"POLYGON ((5 45, 10 45, 10 50, 5 50, 5 45))"
https://pleiades.stoa.org/places/982260/phrygia-paroreius,982260,,Phrygia Paroreius,,,Phrygia,,"POLYGON ((30 35, 35 35, 35 40, 30 40, 30 35))"
https://pleiades.stoa.org/places/982259/alpes-maritimae,982259,,Alpes Maritimae,,,Alpes,,"POLYGON ((5 40, 10 40, 10 45, 5 45, 5 40))"
https://pleiades.stoa.org/places/982258/alpes-cottiae,982258,,Alpes Cottiae,,,Alpes,,
https://pleiades.stoa.org/places/942647940/name.2015-04-30.0218853924,942647940,The Theater of Larissa,The Theater of Larissa,,,Lari,POINT (22.415256 39.640315),
https://pleiades.stoa.org/places/942647940/theater-of-larisa,942647940,Α΄ Αρχαίο Θέατρο της Λάρισας,First Ancient Theater of Larissa,,,Lari,POINT (22.415256 39.640315),
https://pleiades.stoa.org/places/931407499/tha-c-ac-tre-gallo-romain-de-fourviare,931407499,Théâtre Gallo-Romain de Fourvière,Théâtre Gallo-Romain de Fourvière,Theatre Gallo-Romain de Fourviere,,Roma,POINT (4.820046 45.7602208),
https://pleiades.stoa.org/places/932485/tyros,932485,Τύρος,Tyros,,,Tyro,,
https://pleiades.stoa.org/places/92179/pinnata-castra,92179,,Pinnata Castra,,,Castra,,"POLYGON Z ((-3.42779 56.53976 0, -3.42476 56.54392 0, -3.41717 56.54225 0, -3.4201 56.53817 0, -3.42779 56.53976 0))"
https://pleiades.stoa.org/places/92179/copy_of_pinnata-castra,92179,Pinnata Castra,Pinnata Castra,,,Castra,,"POLYGON Z ((-3.42779 56.53976 0, -3.42476 56.54392 0, -3.41717 56.54225 0, -3.4201 56.53817 0, -3.42779 56.53976 0))"
https://pleiades.stoa.org/places/92179/copy2_of_pinnata-castra,92179,,Pinnata Castra,,,Castra,,"POLYGON Z ((-3.42779 56.53976 0, -3.42476 56.54392 0, -3.41717 56.54225 0, -3.4201 56.53817 0, -3.42779 56.53976 0))"
https://pleiades.stoa.org/places/922701/araxes,922701,,Araxes,,,Araxe,POINT (52.7726784 29.8585668),
https://pleiades.stoa.org/places/922672/araxes,922672,,Araxes,,,Araxe,,
https://pleiades.stoa.org/places/957561489/teatro-romano-volterra,957561489,Teatro Romano Volterra,Teatro Romano Volterra,,,Roma,,
https://pleiades.stoa.org/places/775/africa,775,Africa,Africa,,,Africa,,"POLYGON ((5 30, 10 30, 10 35, 5 35, 5 30))"
https://pleiades.stoa.org/places/783/Alpes-M,783,,Alpes M.,,,Alpes,,"POLYGON ((5 40, 10 40, 10 45, 5 45, 5 40))"
https://pleiades.stoa.org/places/766/aegyptus,766,Aegyptus,Aegyptus,,,Aegyptus,,
https://pleiades.stoa.org/places/766/name.2016-07-01.6864599694,766,Aegyptus,Aegyptus,,,Aegyptus,,
https://pleiades.stoa.org/places/79767/romano-british-villa-at-withington,79767,Romano-British villa at Withington,Romano-British villa at Withington,,,Roma,POINT (-1.95702 51.838805),
https://pleiades.stoa.org/places/79676/honeyditches-roman-villa,79676,Honeyditches Roman Villa,Honeyditches Roman Villa,,,Roma,POINT (-3.07982 50.7125911),
https://pleiades.stoa.org/places/79656/name.2018-09-16.1789344169,79656,Castleshaw Roman Fort,Castleshaw Roman Fort,,,Roma,POINT (-2.003157 53.583217),"POLYGON Z ((-2.003063 53.58358 0, -2.002666 53.583202 0, -2.003436 53.582893 0, -2.003838 53.583282 0, -2.003063 53.58358 0))"
https://pleiades.stoa.org/places/798064/galles,798064,,Galles,,,Galle,,
https://pleiades.stoa.org/places/798812624/tractus-umbriae,798812624,tractus Vmbriae,Tractus Umbriae,,,Umbria,,
https://pleiades.stoa.org/places/79405/roman-villa-at-cotterstock,79405,"Roman Villa at Cotterstock, Northamptonshire",Roman Villa at Cotterstock,Northamptonshire,,Roma,POINT (-0.45814 52.502529),
https://pleiades.stoa.org/places/79469/fretum-oceani,79469,Fretum Oceani,Fretum Oceani,,,Oceani,POINT (1.45 51),
https://pleiades.stoa.org/places/79492/great-witcombe-romano-british-villa,79492,Great Witcombe Romano-British villa,Great Witcombe Romano-British villa,,,Roma,POINT (-2.1474 51.8267),
https://pleiades.stoa.org/places/79383/chedworth-roman-villa,79383,Chedworth Roman Villa,Chedworth Roman Villa,,,Roma,POINT (-1.9245 51.8201),
https://pleiades.stoa.org/places/79368/name.2013-09-01.2793424760,79368,,Silchester Roman Town,,,Roma,POINT (-1.0825 51.357222),
https://pleiades.stoa.org/places/79328/bignor-roman-villa,79328,Bignor Roman Villa,Bignor Roman Villa,,,Roma,,
https://pleiades.stoa.org/places/79342/boxmoor-house-roman-villa,79342,Boxmoor House Roman villa,Boxmoor House Roman villa,,,Roma,,
https://pleiades.stoa.org/places/79269910/eurusakeion,79269910,Εὐρυσάκειον,Eurusákeion,Eurysakeion,,Eurus,,
https://pleiades.stoa.org/places/79571/llantwit-major-roman-villa,79571,Llantwit Major Roman Villa,Llantwit Major Roman Villa,,,Roma,POINT (-3.4989 51.4192),
https://pleiades.stoa.org/places/79571/llantwit-major-roman-villa,79571,Llantwit Major Roman Villa,Llantwit Major Roman Villa,,,Roma,POINT (-3.4989346 51.4192557),
https://pleiades.stoa.org/places/79571/caermead-roman-villa,79571,Caermead Roman villa,Caermead Roman villa,,,Roma,POINT (-3.4989 51.4192),
https://pleiades.stoa.org/places/79571/caermead-roman-villa,79571,Caermead Roman villa,Caermead Roman villa,,,Roma,POINT (-3.4989346 51.4192557),
https://pleiades.stoa.org/places/79540/jordan-hill-roman-temple,79540,Jordan Hill Roman Temple,Jordan Hill Roman Temple,,,Roma,,
https://pleiades.stoa.org/places/79520/hucclecote-roman-villa,79520,Hucclecote Roman villa,Hucclecote Roman villa,,,Roma,POINT (-2.1801232 51.8564958),
https://pleiades.stoa.org/places/79534/name.2013-08-06.1260557994,79534,,Charterhouse Roman Town,,,Roma,POINT (-2.698015 51.305512),
https://pleiades.stoa.org/places/795808/forum-cambusis,795808,,Forum Cambusis,,,Forum,POINT (31.60857 22.360039),
https://pleiades.stoa.org/places/707592/Olympos-M,707592,,Olympos,,,Olympo,,"POLYGON ((34.5 35.5, 35 35.5, 35 36, 34.5 36, 34.5 35.5))"
https://pleiades.stoa.org/places/707593/olympos,707593,,Olympos,,,Olympo,POINT (34.5785 35.68528),
https://pleiades.stoa.org/places/776193/libyaigyptioi,776193,,Libyaigyptioi,,,Libya,,"POLYGON ((31 25.5, 31.5 25.5, 31.5 26, 31 26, 31 25.5))"
https://pleiades.stoa.org/places/771725842/isola-tiberina,771725842,Isola Tiberina,Isola Tiberina,,,Tiberina,POINT (12.477222 41.890833),
